Customer Name,Value Stream 
FCS - RUSHABH INDUSTRIES LIMITED,misc 
FCS - RUSHABH INDUSTRIES LIMITED,misc 
Fcs - Salwa Kenya Limited(Dr),edible
Fcs - Selleys Trading Ltd(Dr),misc 
Fcs - Sianga Intertrade Company Ltd(Dr),misc 
Fcs - Sidai Africa Limited(Dr),misc 
FCS - SPAHK LIMITED,misc 
Fcs - Sphinx Pharmaceuticals Ltd A-C 1(Dr),misc 
Fcs - Sphinx Pharmaceuticals Ltd A-C 2(Dr),misc 
FCS - SUNPRIDE ENTRPRISES LTD,misc 
FCS - SUNPRIDE ENTRPRISES LTD,misc 
FCS - THE M-PESA ACADEMY,misc 
FCS - TIRELESS EFFORT ENTERPRISES,misc 
FCS - TIRELESS EFFORT ENTERPRISES,misc 
FCS - TOPSERVE EAST AFRICA LTD,misc 
Fcs - Transhaul Limited A-C 2(Dr),misc 
FCS - TRUPHARM MEDICAL LIMITED,misc 
FCS - UNIVERSAL CHEMO TRADE LIMITED,misc 
FCS - VARSANI IMPEX LIMITED,misc 
FCS - VICOOL GROUP LIMITED,misc 
FCS - WANGAINDERITU,misc 
FCS - ZEREGABER GENERAL TRADING LTD,misc 
FCS - ZEREGABER GENERAL TRADING LTD,misc 
FCS - ZEREGABER GENERAL TRADING LTD,misc 
Flame Tree Africa Ltd(Dr),misc 
Flamingo Horticulture Kenya Limited(Dr),misc 
Friendly Polymars Ltd(Dr),misc 
Friendly Polymars Ltd(Dr),misc 
FURNITURE PALACE INTERNATIONAL (K) ,misc 
General Plastics Ltd(Dr),misc 
GIL OIL COMPANY LTD,edible
Githunguri Dairy Farmers Co-Op Society Ltd(Dr),misc 
Glacier Products Ltd(Dr),misc 
GOLDEN AFRICA KENYA LIMITED(DR),edible
GOLDEN AFRICA KENYA LIMITED(DR),edible
GULF ENERGY HOLDINGS LIMITED,lube
Gulf Energy Ltd(Dr),lube
HACO INDUSTRIES KENYA LTD,misc 
Happy Cow Ltd.(Dr),misc 
HASS PETROLEUM (K) LTD,misc 
Henkel Chemicals (Ea) Ltd(Dr),misc 
Highchem East Africa Ltd(Dr),misc 
HIGHRIDGE PHARMACEUTICALS LTD A-C 1 1,misc 
Hitech Ink And Coatings Ltd(Dr),misc 
Honey Care Africa Ltd(Dr),misc 
IDEAL MANUFACTURING COMPANY LTD,misc 
Impact Chemicals(Dr),misc 
Impact Pharmaceuticals Ltd A-C 2(Dr),misc 
Inter Beauty Products Ltd(Dr),misc 
Inter Beauty Products Ltd(Dr),misc 
Inter Beauty Products Ltd(Dr),misc 
Interconsumer Products Ltd.(Dr),misc 
INTERNATIONAL ORGANISATION FOR ,misc 
JAY RAJ ENTERPRISES LTD(DR),misc 
Kam Industries Ltd.(Dr),misc 
KANSAI PLASCON KENYA LIMITED,misc 
Kapa Oil Refineries Ltd. A-C 1(Dr),misc 
Kavirondo Fishnets Ltd(Dr),misc 
Kel Chemicals Ltd(Dr),misc 
Kenpoly Manufacturers Ltd.(Dr),misc 
Kenpoly Manufacturers Ltd.(Dr),misc 
Kenpoly Manufacturers Ltd.(Dr),misc 
KENROM CHEMICALS KENYA LIMITED,misc 
Kentainers Ltd(Dr),misc 
KENYA INKS AND COATINGS INDUSTRIES,misc 
Kenya Oil Company Ltd(Dr),misc 
KENYA PIPELINE COMPANY LIMITED,misc 
KENYA STATIONERS LIMITED,misc 
KOBIAN KENYA LIMITED,misc 
Komal Manufacturers Ltd.(Dr),misc 
Lacheka Lubricants Ltd A-C 2(Dr),lube
Lacheka Lubricants Ltd A-C 2(Dr),lube
LEO PLASTICS LTD,misc 
Lubesol Kenya Limited(Dr),lube
MAIKAR QUALITY PRODUCTS,misc 
Marshall Fowler (Steam Services)(Dr),misc 
MCDAVE HOLDINGS LTD.,misc 
MEDISEL KENYA LTD(DR),misc 
Menengai Oil Refineries Ltd(Dr),edible
Menengai Oil Refineries Ltd(Dr),edible
Merit Limited(Dr),misc 
Metroplastics Kenya Limited(Dr),misc 
Modern Soap Factory Ltd(Dr),edible
Monasa Nets (Kenya) Ltd(Dr),misc 
MR. GREEN TRADING AFRICA KENYA (DR) ,misc 
MUGOYA VEGETABLE SHOP LTD,misc 
Murphy Chemicals (Ea) Ltd(Dr),misc 
MVITA OILS LIMITED,edible
NAIROBI PLASTIC LTD,misc 
